a0,a1,a2,a3,a4,a5,class
0.48373514,0.51626486,0.47231793,0.52768207,0.49156684,0.5084332,1
0.611387,0.38861296,0.90167356,0.09832647,0.49302086,0.50697917,0
0.4837172,0.5162828,0.47228682,0.5277132,0.49157977,0.5084202,1
0.48106402,0.518936,0.46919036,0.5308096,0.49302086,0.50697917,1
0.48373303,0.516267,0.47231236,0.5276876,0.4915691,0.50843084,1
0.4837053,0.5162947,0.4693589,0.5306411,0.49232543,0.5076745,1
0.48205802,0.5179421,0.469303,0.530697,0.4923492,0.50765073,1
0.48376876,0.5162313,0.4722491,0.5277509,0.4915982,0.50840175,0
0.48292187,0.51707816,0.4711875,0.52881247,0.49191955,0.5080805,1
0.48363385,0.5163662,0.47209567,0.52790433,0.49166602,0.5083339,0
0.48373544,0.5162646,0.4723089,0.52769107,0.4915704,0.50842965,0
0.48363367,0.5163663,0.4720623,0.5279377,0.491681,0.508319,1
0.483459,0.51654106,0.47192746,0.52807254,0.491719,0.50828093,1
0.4837333,0.5162667,0.47221926,0.5277808,0.49160856,0.50839144,0
0.48442972,0.5155703,0.47072658,0.52927345,0.49200097,0.507999,0
0.48601577,0.51398426,0.6372377,0.36276224,0.49295774,0.5070423,0
0.48375365,0.5162463,0.47231197,0.527688,0.4915702,0.5084298,0
0.48364648,0.5163536,0.4722577,0.5277423,0.4915885,0.50841147,1
0.4837371,0.5162629,0.47228715,0.52771276,0.4915782,0.5084217,0
0.48373494,0.51626503,0.47231928,0.5276808,0.49156624,0.5084338,0
0.48373416,0.5162658,0.4723164,0.52768356,0.4915675,0.5084325,1
0.4837578,0.51624215,0.47223082,0.5277692,0.49160182,0.5083981,0
0.483738,0.51626205,0.4723165,0.5276835,0.4915675,0.5084325,0
0.4837134,0.5162867,0.47212347,0.5278765,0.49165517,0.50834477,1
0.48369867,0.5163013,0.47221845,0.52778155,0.49160552,0.5083944,1
0.48373508,0.5162649,0.47230417,0.5276958,0.49157172,0.50842834,0
0.48373494,0.5162651,0.47231925,0.5276808,0.4915662,0.50843376,0
0.48367566,0.5163243,0.47219014,0.5278098,0.4916214,0.50837857,1
0.48373708,0.51626295,0.47230896,0.52769107,0.49157,0.50843,0
0.48316324,0.5168367,0.4705731,0.5294269,0.49202004,0.5079799,1
0.48195,0.51804996,0.46923426,0.5307657,0.49302086,0.50697917,1
0.48406705,0.515933,0.4713347,0.5286653,0.49189243,0.50810754,0
0.48373222,0.51626784,0.47230998,0.5276901,0.49157014,0.5084298,1
0.48372895,0.516271,0.4722763,0.52772367,0.49158424,0.5084157,1
0.48358163,0.51641834,0.47015575,0.5298443,0.49209428,0.5079057,1
0.5092441,0.49075586,0.79293764,0.20706229,0.49301806,0.5069819,0
0.48378003,0.51622,0.46987182,0.53012824,0.4921319,0.5078682,0
0.4836987,0.51630133,0.47161308,0.52838695,0.49181166,0.5081884,0
0.48373243,0.5162676,0.472307,0.5276929,0.4915714,0.50842863,1
0.4836907,0.5163093,0.4717635,0.5282365,0.491782,0.508218,0
0.48373318,0.5162668,0.47231695,0.527683,0.49156708,0.508433,1
0.4839231,0.5160768,0.46912542,0.5308746,0.4922633,0.50773674,0
0.48369783,0.51630217,0.4700211,0.5299789,0.4921213,0.5078788,1
0.48373497,0.51626503,0.47231954,0.52768046,0.4915661,0.50843394,0
0.48373327,0.51626676,0.47225067,0.5277493,0.4915934,0.50840664,0
0.48347902,0.51652104,0.50298196,0.49701813,0.49302086,0.50697917,0
0.48188487,0.51811516,0.4685784,0.5314216,0.49302086,0.50697917,1
0.48373508,0.5162649,0.4723148,0.52768517,0.49156806,0.5084319,0
0.48668042,0.5133195,0.5592268,0.44077322,0.49302086,0.50697917,0
0.48373532,0.5162647,0.47231537,0.5276846,0.4915677,0.5084323,0
0.48373488,0.5162651,0.47231936,0.5276806,0.49156618,0.5084338,1
0.48362204,0.516378,0.47171775,0.5282822,0.49180305,0.5081969,1
0.48378378,0.51621616,0.47226304,0.527737,0.4915927,0.5084073,0
0.48332804,0.51667196,0.47195494,0.5280451,0.49171185,0.50828815,1
0.4837327,0.5162673,0.47230765,0.52769244,0.4915713,0.5084287,1
0.48092222,0.51907784,0.4684017,0.5315983,0.49302086,0.50697917,1
0.48384893,0.51615113,0.47104073,0.5289592,0.4919506,0.5080494,1
0.48373497,0.51626503,0.47231942,0.5276806,0.49156612,0.5084339,0
0.4837348,0.5162652,0.47231594,0.52768403,0.49156773,0.50843227,1
0.48387757,0.5161224,0.47225383,0.52774614,0.49160275,0.5083973,0
0.48373443,0.51626563,0.47231728,0.5276827,0.49156702,0.508433,0
0.48373836,0.51626164,0.47230873,0.5276912,0.4915708,0.5084292,0
0.48372522,0.51627475,0.47230116,0.52769876,0.4915737,0.5084263,1
0.48373476,0.5162652,0.47231832,0.5276817,0.49156675,0.5084333,1
0.48359472,0.51640534,0.47134808,0.5286519,0.4918818,0.5081183,0
0.48373395,0.516266,0.47231862,0.5276813,0.49156648,0.5084335,0
0.48373467,0.5162654,0.47231457,0.52768546,0.49156833,0.5084316,1
0.4837348,0.51626515,0.47231868,0.5276813,0.49156645,0.5084336,0
0.48374364,0.5162564,0.47227997,0.52772003,0.4915826,0.5084174,1
0.48373786,0.5162622,0.47227922,0.52772075,0.49158192,0.5084181,0
0.48372746,0.51627254,0.47195068,0.5280493,0.4917374,0.50826263,1
0.4837835,0.51621646,0.4721021,0.52789783,0.49166286,0.50833714,0
0.4841581,0.51584184,0.46913052,0.53086954,0.49232805,0.50767195,0
0.48359817,0.5164018,0.47113496,0.52886504,0.49195036,0.50804967,1
0.48397583,0.5160241,0.47210345,0.5278965,0.4916824,0.50831753,0
0.4845259,0.5154741,0.5288768,0.47112322,0.49294257,0.5070575,0
0.4837344,0.51626563,0.4722988,0.5277012,0.49157497,0.50842506,1
0.48377264,0.51622736,0.4722415,0.52775854,0.4916015,0.50839853,0
0.48262325,0.51737684,0.49834016,0.5016598,0.49302086,0.50697917,0
0.48141763,0.51858234,0.4868655,0.5131346,0.49302086,0.50697917,0
