a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,class
0.0033067763,0.14925414,0.058117222,0.39596415,0.0055558626,0.033022527,0.13828371,0.0033070683,0.018255007,0.024928696,0.0710302,0.0012299652,0.0014789581,0.0006051506,0.0043055387,0.014014772,0.07734033,0.00057787326,0.029974531,0.011624264,0.77503,0.0029085057,0.004651983,0.07361323,0.0017492773,0.0011613404,0.004350338,0.015073434,0.00031404643,0.00046747306,0.0042796074,0.0025605448,0.003711775,0.06795184,0.002749575,0.47374165,0.05776335,0.09036003,0.014639532,0.03075978,0.06852454,0.006565895,0.010299356,0.01752977,0.11986534,0.0033385204,0.0020005389,0.0031237365,0.0075917416,0.021117384,0.0700293,3
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.005809972,0.42738542,0.120013155,0.018741267,0.043619018,0.054257162,0.054054108,0.008615371,0.010480119,0.022260735,0.12672555,0.002162172,0.0012770381,0.0015199033,0.008748588,0.022796778,0.071533695,0.00081028533,0.62740844,0.064313576,0.035014436,0.009479382,0.023449,0.051089853,0.003941049,0.003732102,0.011721789,0.0982776,0.00070652337,0.00040092663,0.0012933253,0.002995984,0.008269243,0.057096433,1
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.0060855923,0.42043743,0.12086536,0.019860484,0.043885622,0.054890316,0.055092838,0.00902612,0.010988861,0.022995068,0.12577741,0.0023696835,0.0014021357,0.001653022,0.009297994,0.023502482,0.07186952,0.0009562709,0.6102483,0.065517165,0.037984107,0.010093916,0.025289988,0.05530649,0.0043561496,0.0043341583,0.013038778,0.09766639,0.0008684289,0.0004907916,0.0015415006,0.0034860133,0.009356253,0.05946518,1
0.0029634775,0.23362058,0.06519475,0.042049274,0.024450427,0.031036997,0.024358554,0.0066886186,0.0060465285,0.021548446,0.46951112,0.0014360566,0.0013434462,0.0021860255,0.0047438773,0.020654323,0.04216753,0.0052864095,0.440518,0.11875322,0.017204354,0.042398605,0.053004805,0.05222664,0.007930813,0.009615876,0.020981142,0.12783554,0.0018755189,0.0010818965,0.001303485,0.007987864,0.021487363,0.07050845,0.014039199,0.22276755,0.118278526,0.060033735,0.07665944,0.08479365,0.063210644,0.023198431,0.028395738,0.03852261,0.11041237,0.008783193,0.007724559,0.014187454,0.020324731,0.041034862,0.0676332,16
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.0046631866,0.46054783,0.1144398,0.01625668,0.040848043,0.04932433,0.050607014,0.007233666,0.008595481,0.018547192,0.12763543,0.0015465602,0.00089623005,0.0011278419,0.0071711773,0.019520363,0.07103917,0.002200286,0.49337986,0.08172176,0.05204689,0.02041939,0.03897967,0.059117295,0.0077651124,0.008536188,0.018500438,0.11904699,0.0017380639,0.0012474125,0.0028992163,0.0061664423,0.01618434,0.07005059,1
0.0009925336,0.67673856,0.11053882,0.008889628,0.027761243,0.0345193,0.043387573,0.0037701498,0.0026858589,0.0047525833,0.022076191,0.0009438678,0.00094066607,0.00054021773,0.0014048978,0.011128165,0.04892978,0.004610472,0.46271336,0.11420436,0.016103204,0.040554553,0.04890684,0.050245743,0.0071519036,0.008509955,0.018410934,0.12731723,0.0015221139,0.00087836786,0.0011108678,0.0071250843,0.019363951,0.07127105,0.002753775,0.4990929,0.080673896,0.04544729,0.0316594,0.041600566,0.05539658,0.0064037815,0.0071474505,0.014952681,0.13043536,0.0018586838,0.0009976794,0.0035157725,0.005915688,0.015612524,0.056535933,1
0.0010053787,0.1383047,0.03140129,0.03390674,0.010678926,0.018293407,0.011102303,0.0024994204,0.0034596482,0.013914982,0.69263744,0.0003635683,0.0003673945,0.00096419384,0.0020224021,0.013015878,0.026062323,0.0045686723,0.46316543,0.11616036,0.015456249,0.039935373,0.049261544,0.049926035,0.0069911815,0.008417969,0.018866464,0.12736179,0.0014933314,0.00085723406,0.0010579706,0.0069382945,0.019538166,0.070003875,0.0027249665,0.47556996,0.091370575,0.048048776,0.025189592,0.043744944,0.0600103,0.008702376,0.009079961,0.020513766,0.117703415,0.0019571916,0.0013810999,0.0034855213,0.006754865,0.01715706,0.06660557,10
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.0039692493,0.4846822,0.114111595,0.013973145,0.038015824,0.04637637,0.047211215,0.006108095,0.007540459,0.01719042,0.12429356,0.0012353909,0.0006953549,0.00087685086,0.006213776,0.018016784,0.069489785,0.0038736023,0.41439968,0.098326735,0.05442705,0.031231547,0.05278023,0.065007575,0.011338023,0.012404869,0.025041737,0.11817649,0.002917802,0.0021810094,0.0049778065,0.009302561,0.02201209,0.07160116,1
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.0044881282,0.46456313,0.11561991,0.015038719,0.040035713,0.04964927,0.04930663,0.006874928,0.008262488,0.018621624,0.12873508,0.0014481478,0.0008214745,0.00101915,0.006804115,0.01922665,0.06948477,0.00078236806,0.620654,0.05797251,0.041368596,0.0086834375,0.02209209,0.0528962,0.0036969054,0.003807171,0.010871334,0.10404092,0.00074684276,0.00043139234,0.0012667537,0.0028809244,0.008392908,0.059415728,1
0.0012490108,0.6482073,0.11437505,0.009516343,0.031719342,0.03854673,0.050675813,0.0046457457,0.0033913916,0.005426004,0.020697406,0.0011620597,0.0011704653,0.0007188099,0.001710241,0.012780746,0.054007564,0.0051673767,0.44622022,0.1169972,0.017982643,0.04186243,0.050409507,0.052772976,0.007929989,0.009470614,0.02008305,0.12595235,0.0018267175,0.0010822499,0.0013316135,0.007936326,0.021005027,0.071969815,0.0006687813,0.6578056,0.0567634,0.033580527,0.0067721824,0.019653285,0.05261875,0.003483967,0.0032848322,0.011502866,0.08707613,0.00061105704,0.00035059216,0.0010727685,0.0026139983,0.0073609217,0.05478029,1
