a0,a1,a2,a3,a4,a5,class
0.8446482,0.15535183,0.9128823,0.0871177,0.9553714,0.04462859,0
0.26268357,0.7373164,0.12216301,0.87783694,0.010359104,0.9896409,1
0.7762397,0.22376029,0.8631928,0.13680719,0.922665,0.07733499,0
0.88773656,0.11226349,0.9414804,0.058519606,0.96675897,0.033241026,0
0.93215674,0.0678433,0.9389875,0.061012484,0.97461104,0.025388945,0
0.10054645,0.8994536,0.05985098,0.94014907,8.025115e-05,0.9999198,1
0.7387212,0.26127887,0.6476044,0.35239556,0.20065661,0.7993434,0
0.8836581,0.11634186,0.9285646,0.07143542,0.9553565,0.044643473,0
0.6001099,0.39989018,0.4499506,0.5500494,0.35833055,0.64166945,0
0.08495185,0.9150482,0.015756346,0.98424363,0.0010804213,0.9989196,1
0.8682495,0.13175052,0.93130213,0.06869788,0.937897,0.062102985,0
0.9110723,0.088927716,0.9363846,0.06361537,0.9786713,0.021328608,0
0.5988408,0.40115923,0.8786686,0.12133139,0.9186561,0.081343934,1
0.83188975,0.1681103,0.8505018,0.14949816,0.94456583,0.05543419,0
0.7216611,0.2783389,0.23260766,0.76739234,0.010777641,0.9892224,1
0.8242888,0.1757112,0.9024313,0.097568646,0.9509764,0.0490237,0
0.7967096,0.20329045,0.8949301,0.10506987,0.92677045,0.07322955,0
0.79323786,0.20676212,0.8930203,0.10697975,0.9173952,0.08260486,0
0.84521735,0.15478261,0.8727783,0.1272217,0.011270206,0.9887298,0
0.7765077,0.22349225,0.89449024,0.105509795,0.9340489,0.06595116,0
0.4084547,0.5915454,0.023573603,0.97642636,0.009000872,0.9909991,1
0.9142706,0.08572946,0.9222201,0.07777992,0.94450265,0.055497352,0
0.5579532,0.4420469,0.51204234,0.48795772,0.8970363,0.10296375,0
0.8742386,0.12576135,0.9359968,0.06400325,0.9637535,0.036246523,0
0.75273794,0.24726203,0.8517593,0.14824067,0.8201011,0.17989893,0
0.8349187,0.16508135,0.90544856,0.09455138,0.9474465,0.05255351,1
0.8788762,0.121123776,0.93836135,0.061638676,0.9602151,0.039784886,0
0.12280001,0.87719995,0.02386639,0.9761336,1.7828843e-05,0.9999821,1
0.82684547,0.17315452,0.8666232,0.13337673,0.949133,0.050867055,0
0.7419168,0.25808328,0.8519321,0.1480679,0.9349524,0.06504756,0
0.15771115,0.84228885,0.012430609,0.9875694,0.060548753,0.9394512,1
0.27250537,0.7274946,0.00049508177,0.9995049,0.0011694562,0.9988305,1
0.8169348,0.18306518,0.844427,0.15557297,0.95502675,0.044973336,0
0.31305808,0.6869419,0.027142474,0.97285753,0.00022417963,0.9997758,1
0.63159305,0.3684069,0.43770278,0.5622973,1.9854622e-06,0.999998,1
0.8935678,0.10643224,0.94659966,0.05340034,0.9609132,0.039086834,0
0.8731986,0.12680142,0.9336157,0.0663843,0.950687,0.049313076,0
0.2333693,0.7666307,0.18185578,0.81814426,0.19963816,0.8003619,1
0.51457494,0.48542503,0.44451606,0.55548394,0.15070103,0.849299,1
0.546409,0.453591,0.5072582,0.4927418,0.8561548,0.14384519,0
0.86497676,0.13502325,0.92301667,0.076983325,0.94767034,0.052329686,0
0.8847084,0.11529159,0.9449821,0.055017907,0.96521753,0.034782436,0
0.89001346,0.1099866,0.9427575,0.05724257,0.9610239,0.038976032,0
0.89169717,0.10830288,0.9401581,0.05984181,0.95833683,0.041663114,0
0.8904342,0.10956576,0.9455404,0.054459568,0.9641105,0.03588954,0
0.539842,0.46015802,0.58786976,0.41213024,0.7841811,0.21581893,1
